web_scraper_order,web_scraper_start_url,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn
"1775381861-1","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","1","7480112KS","Khoa học dữ liệu và trí tuệ nhân tạo","","784"
"1775381861-2","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","2","7510205","Công nghệ kỹ thuật ô tô","","800"
"1775381861-3","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","3","7510301","Công nghệ kỹ thuật điện, điện tử","","728"
"1775381861-4","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","4","7510301","Công nghệ kỹ thuật điện, điện tử (Chương trình đào tạo Công nghệ thiết kế vi mạch)","","962"
"1775381861-5","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","5","7520201","Kỹ thuật điện","","688"
"1775381861-6","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","6","7520216","Kỹ thuật điều kiển và tự động hoá","","740"
"1775381861-7","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","7","7580201","Kỹ thuật xây dựng","","640"
