web_scraper_order,web_scraper_start_url,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn
"1775381932-1","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","1","7480112","Khoa học dữ liệu và trí tuệ nhân tạo (Hệ Cử nhân)","","660"
"1775381932-2","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","2","7480112KS","Khoa học dữ liệu và trí tuệ nhân tạo (Hệ Kỹ sư)","","660"
"1775381932-3","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","3","7520201","Kỹ thuật điện","","660"
"1775381932-4","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","4","7520216","Kỹ thuật điều khiển và tụ động hóa","","660"
"1775381932-5","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","5","7580201","Kỹ thuật xây dựng","","660"
"1775381932-6","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","6","7580301","Công nghệ kỹ thuật ô tô","","660"
