web_scraper_order,web_scraper_start_url,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn
"1775381374-1","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","1","7480112KS","Khoa học dữ liệu và trí tuệ nhân tạo","","22.05"
"1775381374-2","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","2","7510205","Công nghệ kỹ thuật ô tô","","22.5"
"1775381374-3","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","3","7510301","Công nghệ kỹ thuật điện, điện tử","","20.47"
"1775381374-4","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","4","7510301","Công nghệ kỹ thuật điện, điện tử (Chương trình đào tạo Công nghệ thiết kế vi mạch)","","24.64"
"1775381374-5","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","5","7520201","Kỹ thuật điện","","19.35"
"1775381374-6","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","6","7520216","Kỹ thuật điều kiển và tự động hoá","","20.81"
"1775381374-7","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","7","7580201","Kỹ thuật xây dựng","","18.3"
