web_scraper_order,web_scraper_start_url,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn
"1775380438-1","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","1","7480112","Khoa học dữ liệu và trí tuệ nhân tạo (Hệ Cử nhân)","A00;A01;D01","18.2"
"1775380438-2","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","2","7480112KS","Khoa học dữ liệu và trí tuệ nhân tạo (Hệ Kỹ sư)","A00;A01;D01","18.2"
"1775380438-3","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","3","7520201","Kỹ thuật điện","A00;A01;D01","16.5"
"1775380438-4","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","4","7520216","Kỹ thuật điều khiển và tự động hóa","A00;A01;D01","17.5"
"1775380438-5","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","5","7580201","Kỹ thuật xây dựng","A00;A01;C01;D01","15.75"
"1775380438-6","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","6","7580301","Kinh tế xây dựng","A00;A01;C01;D01","15.75"
