web_scraper_order,web_scraper_start_url,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn
"1775377140-1","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html#","1","7480112KS","Khoa học dữ liệu và trí tuệ nhân tạo","A00; A01; C01; D01; X07; X26","19.6"
"1775377140-2","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html#","2","7510205","Công nghệ kỹ thuật ô tô","A00; A01; A10; C01; D01; X05; X07","20"
"1775377140-3","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html#","3","7510301","Công nghệ kỹ thuật điện, điện tử","A00; A01; C01; C02; D01; X07","18.2"
"1775377140-4","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html#","4","7510301","Công nghệ kỹ thuật điện, điện tử (Chương trình đào tạo Công nghệ thiết kế vi mạch)","A00; A01; C01; C02; D01; X07","24.05"
"1775377140-5","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html#","5","7520201","Kỹ thuật điện","A00; A01; C01; C02; D01; X07","17.2"
"1775377140-6","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html#","6","7520216","Kỹ thuật điều kiển và tự động hoá","A00; A01; C01; C02; D01; X07","18.5"
"1775377140-7","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html#","7","7580201","Kỹ thuật xây dựng","A00; A01; A04; C01; C02; D01","16"
