web_scraper_order,web_scraper_start_url,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn
"1775381500-1","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","1","7480112","Khoa học dữ liệu và trí tuệ nhân tạo (Hệ Cử nhân)","A00;A01;D01","20.5"
"1775381500-2","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","2","7480112KS","Khoa học dữ liệu và trí tuệ nhân tạo (Hệ Kỹ sư)","A00;A01;D01","20.5"
"1775381500-3","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","3","7520201","Kỹ thuật điện","A00;A01;D01","20"
"1775381500-4","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","4","7520216","Kỹ thuật điều khiển và tụ động hóa","A00;A01;D01","20.5"
"1775381500-5","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","5","7580201","Kỹ thuật xây dựng","A00;A01;C01;D01","18.5"
"1775381500-6","https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html","6","7580301","Công nghệ kỹ thuật ô tô","A00;A01;D01","20"
